<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.12.17,19:00:00,118371.921830986,118383.107466792,118294.837548097,118309.933098592,34,0,34
2024.12.17,19:15:00,118309.933098592,118338.297902534,118247.944366197,118247.944366197,35,0,35
2024.12.17,19:30:00,118247.944366197,118264.460306491,118169.869629411,118185.955633803,36,0,36
2024.12.17,19:45:00,118185.955633803,118206.106408474,118123.966901408,118123.966901408,37,0,37
2024.12.17,20:00:00,118123.966901408,118130.427186735,118047.23980492,118061.978169014,38,0,38
2024.12.17,20:15:00,118061.978169014,118073.37919787,117999.98943662,117999.98943662,39,0,39
2024.12.17,20:30:00,117999.98943662,118013.971785691,117938.000704225,117938.000704225,40,0,40
2024.12.17,20:45:00,117938.000704225,117966.577926374,117876.011971831,117876.011971831,41,0,41
2024.12.17,21:00:00,117876.011971831,117882.687108528,117814.023239437,117814.023239437,42,0,42
2024.12.17,21:15:00,117814.023239437,117822.555879357,117752.034507042,117752.034507042,43,0,43
2024.12.17,21:30:00,117752.034507042,117782.914295993,117690.045774648,117690.045774648,44,0,44
2024.12.17,21:45:00,117690.045774648,117717.036181875,117628.057042254,117628.057042254,45,0,45
2024.12.17,22:00:00,117628.057042254,117658.264608395,117549.019363482,117566.068309859,46,0,46
2024.12.17,22:15:00,117566.068309859,117591.853264187,117504.079577465,117504.079577465,47,0,47
2024.12.17,22:30:00,117504.079577465,117523.932075556,117439.804445463,117442.09084507,48,0,48
2024.12.17,22:45:00,117442.09084507,117456.230461754,117362.907594624,117380.102112676,49,0,49
2024.12.17,23:00:00,117380.102112676,117384.071654448,117316.788245425,117318.113380282,50,0,50
2024.12.17,23:15:00,117318.113380282,117344.92752011,117256.124647887,117256.124647887,51,0,51
2024.12.17,23:30:00,117256.124647887,117274.781936905,117188.372625253,117194.135915493,52,0,52
2024.12.17,23:45:00,117194.135915493,117202.979767924,117132.147183099,117132.147183099,53,0,53
2024.12.18,00:00:00,117132.147183099,117161.197660786,117061.187340145,117070.158450704,54,0,54
2024.12.18,00:15:00,117070.158450704,117094.97343531,117008.16971831,117008.16971831,55,0,55
2024.12.18,00:30:00,117008.16971831,117021.318216037,116928.136905894,116946.180985916,56,0,56
2024.12.18,00:45:00,116946.180985916,116977.028837904,116884.192253521,116884.192253521,57,0,57
2024.12.18,01:00:00,116884.192253521,116911.383553768,116822.203521127,116822.203521127,58,0,58
2024.12.18,01:15:00,116822.203521127,116825.091828582,116754.412192324,116760.214788732,59,0,59
2024.12.18,01:30:00,116760.214788732,116784.694853788,116692.581123576,116698.226056338,60,0,60
2024.12.18,01:45:00,116698.226056338,116717.620206123,116630.487160059,116636.237323944,61,0,61
2024.12.18,02:00:00,116636.237323944,116656.545130697,116574.248591549,116574.248591549,62,0,62
2024.12.18,02:15:00,116574.248591549,116576.355098821,116499.195681776,116512.259859155,63,0,63
2024.12.18,02:30:00,116512.259859155,116526.48730481,116450.271126761,116450.271126761,64,0,64
2024.12.18,02:45:00,116450.271126761,116465.189319923,116388.282394366,116388.282394366,65,0,65
2024.12.18,03:00:00,116388.282394366,116404.515887515,116326.293661972,116326.293661972,66,0,66
2024.12.18,03:15:00,116326.293661972,116352.663530844,116264.304929577,116264.304929577,67,0,67
2024.12.18,03:30:00,116264.304929577,116294.748441687,116200.975597693,116202.316197183,68,0,68
2024.12.18,03:45:00,116202.316197183,116224.99999507,116130.762550907,116140.327464789,69,0,69
2024.12.18,04:00:00,116140.327464789,116163.886991896,116066.006853855,116078.338732394,70,0,70
2024.12.18,04:15:00,116078.338732394,116101.536357318,116016.35,116016.35,71,0,71
2024.12.18,04:30:00,116016.35,116061.792075071,116016.35,116048.794615385,72,0,72
2024.12.18,04:45:00,116048.794615385,116086.566875619,116042.301184185,116081.239230769,73,0,73
2024.12.18,05:00:00,116081.239230769,116116.983822728,116076.764817317,116113.683846154,74,0,74
2024.12.18,05:15:00,116113.683846154,116158.472150921,116106.557928694,116146.128461538,75,0,75
2024.12.18,05:30:00,116146.128461538,116185.751161591,116146.128461538,116178.573076923,76,0,76
2024.12.18,05:45:00,116178.573076923,116226.173322561,116178.573076923,116211.017692308,77,0,77
2024.12.18,06:00:00,116211.017692308,116255.695360686,116210.389793396,116243.462307692,78,0,78
2024.12.18,06:15:00,116243.462307692,116277.227486,116234.681127445,116275.906923077,79,0,79
2024.12.18,06:30:00,116275.906923077,116309.649749792,116274.096709298,116308.351538462,80,0,80
2024.12.18,06:45:00,116308.351538462,116348.412256368,116308.351538462,116340.796153846,81,0,81
2024.12.18,07:00:00,116340.796153846,116374.866718819,116340.796153846,116373.240769231,82,0,82
2024.12.18,07:15:00,116373.240769231,116417.565761231,116367.578432041,116405.685384615,83,0,83
2024.12.18,07:30:00,116405.685384615,116450.76723068,116399.791369306,116438.13,84,0,84
2024.12.18,07:45:00,116438.13,116471.641812931,116438.13,116470.574615385,85,0,85
2024.12.18,08:00:00,116470.574615385,116514.111617118,116469.376015562,116503.019230769,86,0,86
2024.12.18,08:15:00,116503.019230769,116538.056097099,116503.014139578,116535.463846154,87,0,87
2024.12.18,08:30:00,116535.463846154,116583.890761351,116527.374477513,116567.908461538,88,0,88
2024.12.18,08:45:00,116567.908461538,116603.542126819,116567.908461538,116600.353076923,89,0,89
2024.12.18,09:00:00,116600.353076923,116646.575146161,116600.353076923,116632.797692308,90,0,90
2024.12.18,09:15:00,116632.797692308,116677.000872927,116626.130952914,116665.242307692,91,0,91
2024.12.18,09:30:00,116665.242307692,116699.751805551,116665.242307692,116697.686923077,92,0,92
2024.12.18,09:45:00,116697.686923077,116745.950115447,116697.686923077,116730.131538462,93,0,93
2024.12.18,10:00:00,116730.131538462,116769.007399024,116730.131538462,116762.576153846,94,0,94
2024.12.18,10:15:00,116762.576153846,116810.60161518,116760.527906583,116795.020769231,95,0,95
2024.12.18,10:30:00,116795.020769231,116841.688843893,116795.020769231,116827.465384615,96,0,96
2024.12.18,10:45:00,116827.465384615,116874.850503537,116827.465384615,116859.91,97,0,97
2024.12.18,11:00:00,116859.91,116905.844173492,116852.397484378,116892.354615385,98,0,98
2024.12.18,11:15:00,116892.354615385,116938.767634272,116885.196975842,116924.799230769,99,0,99
2024.12.18,11:30:00,116924.799230769,116968.073147107,116924.799230769,116957.243846154,100,0,100
2024.12.18,11:45:00,116957.243846154,116996.874591691,116947.645945466,116989.688461538,101,0,101
2024.12.18,12:00:00,116989.688461538,117033.201284228,116989.688461538,117022.133076923,102,0,102
2024.12.18,12:15:00,117022.133076923,117070.14190449,117022.133076923,117054.577692308,103,0,103
2024.12.18,12:30:00,117054.577692308,117095.171771028,117054.577692308,117087.022307692,104,0,104
2024.12.18,12:45:00,117087.022307692,117125.15072591,117087.022307692,117119.466923077,105,0,105
2024.12.18,13:00:00,117119.466923077,117152.746480127,117115.078716254,117151.911538462,106,0,106
2024.12.18,13:15:00,117151.911538462,117199.172381072,117151.911538462,117184.356153846,107,0,107
2024.12.18,13:30:00,117184.356153846,117225.366360718,117184.356153846,117216.800769231,108,0,108
2024.12.18,13:45:00,117216.800769231,117250.274336811,117211.974135774,117249.245384615,109,0,109
2024.12.18,14:00:00,117249.245384615,117284.641380664,117249.245384615,117281.69,110,0,110
2024.12.18,14:15:00,117281.69,117325.829532135,117189.387,117189.387,111,0,111
2024.12.18,14:30:00,117189.387,117225.090147407,117077.446897943,117097.084,112,0,112
2024.12.18,14:45:00,117097.084,117121.222249882,117004.781,117004.781,113,0,113
2024.12.18,15:00:00,117004.781,117014.961401943,116889.560253529,116912.478,114,0,114
2024.12.18,15:15:00,116912.478,116954.338484871,116820.175,116820.175,115,0,115
2024.12.18,15:30:00,116820.175,116865.935179105,116727.872,116727.872,116,0,116
2024.12.18,15:45:00,116727.872,116765.484434582,116630.909378214,116635.569,117,0,117
2024.12.18,16:00:00,116635.569,116679.130129634,116530.44205251,116543.266,118,0,118
2024.12.18,16:15:00,116543.266,116577.446824509,116450.963,116450.963,119,0,119
2024.12.18,16:30:00,116450.963,116485.006005241,116346.876547308,116358.66,120,0,120
2024.12.18,16:45:00,116358.66,116403.031226185,116266.357,116266.357,121,0,121
2024.12.18,17:00:00,116266.357,116290.90152026,116174.054,116174.054,122,0,122
2024.12.18,17:15:00,116174.054,116195.224671874,116056.534201313,116081.751,123,0,123
2024.12.18,17:30:00,116081.751,116122.552215746,115989.448,115989.448,124,0,124
2024.12.18,17:45:00,115989.448,116009.238906185,115897.145,115897.145,125,0,125
2024.12.18,18:00:00,115897.145,115926.011231992,115804.842,115804.842,126,0,126
2024.12.18,18:15:00,115804.842,115827.384990592,115712.539,115712.539,127,0,127
2024.12.18,18:30:00,115712.539,115744.579151218,115620.236,115620.236,128,0,128
2024.12.18,18:45:00,115620.236,115630.097135239,115527.933,115527.933,129,0,129
2024.12.18,19:00:00,115527.933,115553.675962361,115435.63,115435.63,130,0,130
2024.12.18,19:15:00,115435.63,115477.549655604,115325.403634523,115343.327,131,0,131
2024.12.18,19:30:00,115343.327,115358.641500844,115243.103055934,115251.024,132,0,132
2024.12.18,19:45:00,115251.024,115275.055681243,115140.810956836,115158.721,133,0,133
2024.12.18,20:00:00,115158.721,115195.46265717,115066.418,115066.418,134,0,134
2024.12.18,20:15:00,115066.418,115099.722228013,114973.285791608,114974.115,135,0,135
2024.12.18,20:30:00,114974.115,114989.543882449,114879.657345557,114881.812,136,0,136
2024.12.18,20:45:00,114881.812,114899.227899293,114789.509,114789.509,137,0,137
2024.12.18,21:00:00,114789.509,114830.909763045,114688.834335704,114697.206,138,0,138
2024.12.18,21:15:00,114697.206,114699.247795342,114604.903,114604.903,139,0,139
2024.12.18,21:30:00,114604.903,114620.333368837,114494.729424603,114512.6,140,0,140
2024.12.18,21:45:00,114512.6,114555.150412177,114508.259996779,114551.484693878,141,0,141
2024.12.18,22:00:00,114551.484693878,114602.951416976,114549.777995254,114590.369387755,142,0,142
2024.12.18,22:15:00,114590.369387755,114646.001870411,114590.369387755,114629.254081633,143,0,143
2024.12.18,22:30:00,114629.254081633,114687.275723748,114624.128046717,114668.13877551,144,0,144
2024.12.18,22:45:00,114668.13877551,114723.52608586,114658.532024034,114707.023469388,145,0,145
2024.12.18,23:00:00,114707.023469388,114758.507418826,114695.625012662,114745.908163265,146,0,146
2024.12.18,23:15:00,114745.908163265,114793.22800514,114745.908163265,114784.792857143,147,0,147
2024.12.18,23:30:00,114784.792857143,114839.497045333,114773.745000319,114823.67755102,148,0,148
2024.12.18,23:45:00,114823.67755102,114876.56677065,114818.908842543,114862.562244898,149,0,149
2024.12.19,00:00:00,114862.562244898,114919.162252886,114861.302466503,114901.446938776,150,0,150
2024.12.19,00:15:00,114901.446938776,114952.197589296,114890.746982172,114940.331632653,151,0,151
2024.12.19,00:30:00,114940.331632653,114979.842019828,114940.331632653,114979.216326531,152,0,152
2024.12.19,00:45:00,114979.216326531,115031.755756792,114979.216326531,115018.101020408,153,0,153
2024.12.19,01:00:00,115018.101020408,115069.6929743,115012.188979914,115056.985714286,154,0,154
2024.12.19,01:15:00,115056.985714286,115096.338584159,115056.721461484,115095.870408163,155,0,155
2024.12.19,01:30:00,115095.870408163,115137.988173616,115088.618040419,115134.755102041,156,0,156
2024.12.19,01:45:00,115134.755102041,115182.657548389,115134.755102041,115173.639795918,157,0,157
2024.12.19,02:00:00,115173.639795918,115225.090588736,115173.639795918,115212.524489796,158,0,158
2024.12.19,02:15:00,115212.524489796,115268.317534927,115212.524489796,115251.409183673,159,0,159
2024.12.19,02:30:00,115251.409183673,115308.178986967,115251.409183673,115290.293877551,160,0,160
2024.12.19,02:45:00,115290.293877551,115336.10238682,115290.293877551,115329.178571429,161,0,161
2024.12.19,03:00:00,115329.178571429,115374.382420364,115329.178571429,115368.063265306,162,0,162
2024.12.19,03:15:00,115368.063265306,115422.76946091,115368.063265306,115406.947959184,163,0,163
2024.12.19,03:30:00,115406.947959184,115454.975116372,115406.947959184,115445.832653061,164,0,164
2024.12.19,03:45:00,115445.832653061,115485.046858588,115445.832653061,115484.717346939,165,0,165
2024.12.19,04:00:00,115484.717346939,115537.68341239,115482.260364515,115523.602040816,166,0,166
2024.12.19,04:15:00,115523.602040816,115578.176098273,115523.602040816,115562.486734694,167,0,167
2024.12.19,04:30:00,115562.486734694,115602.58641076,115562.486734694,115601.371428571,168,0,168
2024.12.19,04:45:00,115601.371428571,115657.909827392,115601.371428571,115640.256122449,169,0,169
2024.12.19,05:00:00,115640.256122449,115680.519505997,115640.256122449,115679.140816327,170,0,170
2024.12.19,05:15:00,115679.140816327,115718.874181449,115676.964270094,115718.025510204,171,0,171
2024.12.19,05:30:00,115718.025510204,115762.706095408,115709.231178108,115756.910204082,172,0,172
2024.12.19,05:45:00,115756.910204082,115796.290409559,115756.910204082,115795.794897959,173,0,173
2024.12.19,06:00:00,115795.794897959,115839.128622192,115795.794897959,115834.679591837,174,0,174
2024.12.19,06:15:00,115834.679591837,115880.32953396,115834.135733731,115873.564285714,175,0,175
2024.12.19,06:30:00,115873.564285714,115924.54857489,115867.412047945,115912.448979592,176,0,176
2024.12.19,06:45:00,115912.448979592,115959.337548736,115902.498535692,115951.333673469,177,0,177
2024.12.19,07:00:00,115951.333673469,115994.551878308,115951.333673469,115990.218367347,178,0,178
2024.12.19,07:15:00,115990.218367347,116035.845912923,115990.218367347,116029.103061225,179,0,179
2024.12.19,07:30:00,116029.103061225,116073.781502414,116029.103061225,116067.987755102,180,0,180
2024.12.19,07:45:00,116067.987755102,116118.676388189,116067.987755102,116106.87244898,181,0,181
2024.12.19,08:00:00,116106.87244898,116163.531570091,116106.87244898,116145.757142857,182,0,182
2024.12.19,08:15:00,116145.757142857,116195.704778625,116145.757142857,116184.641836735,183,0,183
2024.12.19,08:30:00,116184.641836735,116235.733797386,116184.641836735,116223.526530612,184,0,184
2024.12.19,08:45:00,116223.526530612,116263.958374102,116219.540719265,116262.41122449,185,0,185
2024.12.19,09:00:00,116262.41122449,116315.469363655,116262.41122449,116301.295918367,186,0,186
2024.12.19,09:15:00,116301.295918367,116353.982066742,116301.295918367,116340.180612245,187,0,187
2024.12.19,09:30:00,116340.180612245,116383.81488485,116340.180612245,116379.065306122,188,0,188
2024.12.19,09:45:00,116379.065306122,116420.751576075,116379.065306122,116417.95,189,0,189
2024.12.19,10:00:00,116417.95,116458.117170673,116417.95,116456.834693878,190,0,190
2024.12.19,10:15:00,116456.834693878,116506.386779431,116456.834693878,116495.719387755,191,0,191
2024.12.19,10:30:00,116495.719387755,116548.720034281,116495.719387755,116534.604081633,192,0,192
2024.12.19,10:45:00,116534.604081633,116592.273504968,116534.604081633,116573.48877551,193,0,193
2024.12.19,11:00:00,116573.48877551,116629.11152029,116573.48877551,116612.373469388,194,0,194
2024.12.19,11:15:00,116612.373469388,116663.937892149,116612.373469388,116651.258163265,195,0,195
2024.12.19,11:30:00,116651.258163265,116700.936364362,116651.258163265,116690.142857143,196,0,196
2024.12.19,11:45:00,116690.142857143,116739.727871978,116688.165872109,116729.02755102,197,0,197
2024.12.19,12:00:00,116729.02755102,116784.655359526,116729.02755102,116767.912244898,198,0,198
2024.12.19,12:15:00,116767.912244898,116814.723502665,116767.912244898,116806.796938776,199,0,199
2024.12.19,12:30:00,116806.796938776,116862.781266053,116798.786507902,116845.681632653,200,0,200
2024.12.19,12:45:00,116845.681632653,116896.207062087,116843.451521008,116884.566326531,201,0,201
2024.12.19,13:00:00,116884.566326531,116937.643200638,116875.947311472,116923.451020408,202,0,202
2024.12.19,13:15:00,116923.451020408,116962.68733077,116913.605819555,116962.335714286,203,0,203
2024.12.19,13:30:00,116962.335714286,117003.488333273,116962.335714286,117001.220408163,204,0,204
2024.12.19,13:45:00,117001.220408163,117050.878707937,117001.220408163,117040.105102041,205,0,205
2024.12.19,14:00:00,117040.105102041,117081.951731413,117033.02021293,117078.989795918,206,0,206
2024.12.19,14:15:00,117078.989795918,117134.120450264,117078.989795918,117117.874489796,207,0,207
2024.12.19,14:30:00,117117.874489796,117159.961367397,117113.819982828,117156.759183673,208,0,208
2024.12.19,14:45:00,117156.759183673,117211.531506752,117154.633408672,117195.643877551,209,0,209
2024.12.19,15:00:00,117195.643877551,117251.035441861,117183.987364824,117234.528571429,210,0,210
2024.12.19,15:15:00,117234.528571429,117291.656263636,117234.528571429,117273.413265306,211,0,211
2024.12.19,15:30:00,117273.413265306,117330.590084884,117267.911845511,117312.297959184,212,0,212
2024.12.19,15:45:00,117312.297959184,117357.271501187,117307.103011538,117351.182653061,213,0,213
2024.12.19,16:00:00,117351.182653061,117404.975600958,117342.234146656,117390.067346939,214,0,214
2024.12.19,16:15:00,117390.067346939,117439.668685871,117383.32309101,117428.952040816,215,0,215
2024.12.19,16:30:00,117428.952040816,117475.008025907,117428.952040816,117467.836734694,216,0,216
2024.12.19,16:45:00,117467.836734694,117520.582187715,117467.086946556,117506.721428571,217,0,217
2024.12.19,17:00:00,117506.721428571,117560.327567764,117495.228206143,117545.606122449,218,0,218
2024.12.19,17:15:00,117545.606122449,117587.581049521,117537.046835332,117584.490816327,219,0,219
2024.12.19,17:30:00,117584.490816327,117623.775117249,117584.490816327,117623.375510204,220,0,220
2024.12.19,17:45:00,117623.375510204,117664.680296643,117620.225513736,117662.260204082,221,0,221
2024.12.19,18:00:00,117662.260204082,117714.623384753,117661.579179116,117701.144897959,222,0,222
2024.12.19,18:15:00,117701.144897959,117750.48404605,117701.144897959,117740.029591837,223,0,223
2024.12.19,18:30:00,117740.029591837,117785.34266771,117740.029591837,117778.914285714,224,0,224
2024.12.19,18:45:00,117778.914285714,117823.320693691,117778.914285714,117817.798979592,225,0,225
2024.12.19,19:00:00,117817.798979592,117871.968819796,117817.798979592,117856.683673469,226,0,226
2024.12.19,19:15:00,117856.683673469,117907.260083521,117856.683673469,117895.568367347,227,0,227
2024.12.19,19:30:00,117895.568367347,117946.308689315,117895.568367347,117934.453061225,228,0,228
2024.12.19,19:45:00,117934.453061225,117991.180153947,117934.453061225,117973.337755102,229,0,229
2024.12.19,20:00:00,117973.337755102,118030.836430542,117967.133985321,118012.22244898,230,0,230
2024.12.19,20:15:00,118012.22244898,118066.098675961,118012.22244898,118051.107142857,231,0,231
2024.12.19,20:30:00,118051.107142857,118094.898955284,118051.107142857,118089.991836735,232,0,232
2024.12.19,20:45:00,118089.991836735,118138.772287109,118082.02153951,118128.876530612,233,0,233
2024.12.19,21:00:00,118128.876530612,118173.21415705,118128.876530612,118167.76122449,234,0,234
2024.12.19,21:15:00,118167.76122449,118206.960390803,118167.76122449,118206.645918367,235,0,235
2024.12.19,21:30:00,118206.645918367,118258.377853861,118199.761048419,118245.530612245,236,0,236
2024.12.19,21:45:00,118245.530612245,118291.807062396,118235.251132954,118284.415306122,237,0,237
2024.12.19,22:00:00,118284.415306122,118324.344350497,118275.936191669,118323.3,238,0,238
2024.12.19,22:15:00,118323.3,118350.471404221,118224.577975116,118243.63425,239,0,239
2024.12.19,22:30:00,118243.63425,118262.130082501,118163.9685,118163.9685,240,0,240
2024.12.19,22:45:00,118163.9685,118189.126857716,118067.772669415,118084.30275,241,0,241
2024.12.19,23:00:00,118084.30275,118105.19066543,118004.637,118004.637,242,0,242
2024.12.19,23:15:00,118004.637,118023.479975904,117907.204966143,117924.97125,243,0,243
2024.12.19,23:30:00,117924.97125,117962.193854052,117845.3055,117845.3055,244,0,244
2024.12.19,23:45:00,117845.3055,117884.141875928,117741.926110809,117765.63975,245,0,245
2024.12.20,00:00:00,117765.63975,117802.131299015,117664.983020003,117685.974,246,0,246
2024.12.20,00:15:00,117685.974,117695.731114539,117601.479445516,117606.30825,247,0,247
2024.12.20,00:30:00,117606.30825,117629.915726426,117518.933737623,117526.6425,248,0,248
2024.12.20,00:45:00,117526.6425,117552.781448726,117427.726697818,117446.97675,249,0,249
2024.12.20,01:00:00,117446.97675,117449.634284383,117346.551749386,117367.311,250,0,250
2024.12.20,01:15:00,117367.311,117373.565912552,117274.582633862,117287.64525,251,0,251
2024.12.20,01:30:00,117287.64525,117300.368365122,117207.9795,117207.9795,252,0,252
2024.12.20,01:45:00,117207.9795,117222.052696022,117106.608671099,117128.31375,253,0,253
2024.12.20,02:00:00,117128.31375,117163.258779361,117048.648,117048.648,254,0,254
2024.12.20,02:15:00,117048.648,117048.807119139,116968.98225,116968.98225,255,0,255
2024.12.20,02:30:00,116968.98225,117006.421798272,116889.3165,116889.3165,256,0,256
2024.12.20,02:45:00,116889.3165,116894.351859998,116809.65075,116809.65075,257,0,257
2024.12.20,03:00:00,116809.65075,116837.11465785,116717.385939145,116729.985,258,0,258
2024.12.20,03:15:00,116729.985,116755.428496397,116628.607140736,116650.31925,259,0,259
2024.12.20,03:30:00,116650.31925,116679.883037724,116566.451626899,116570.6535,260,0,260
2024.12.20,03:45:00,116570.6535,116571.599265185,116490.98775,116490.98775,261,0,261
2024.12.20,04:00:00,116490.98775,116516.752428745,116396.345189614,116411.322,262,0,262
2024.12.20,04:15:00,116411.322,116422.502494224,116320.73074088,116331.65625,263,0,263
2024.12.20,04:30:00,116331.65625,116334.979677718,116239.016503547,116251.9905,264,0,264
2024.12.20,04:45:00,116251.9905,116275.781216558,116161.989512431,116172.32475,265,0,265
2024.12.20,05:00:00,116172.32475,116203.402893958,116092.659,116092.659,266,0,266
2024.12.20,05:15:00,116092.659,116096.388768556,116012.99325,116012.99325,267,0,267
2024.12.20,05:30:00,116012.99325,116047.292852214,115933.3275,115933.3275,268,0,268
2024.12.20,05:45:00,115933.3275,115959.03988288,115846.844619734,115853.66175,269,0,269
2024.12.20,06:00:00,115853.66175,115889.134004126,115763.910912459,115773.996,270,0,270
2024.12.20,06:15:00,115773.996,115796.46150752,115694.33025,115694.33025,271,0,271
2024.12.20,06:30:00,115694.33025,115696.284865552,115614.6645,115614.6645,272,0,272
2024.12.20,06:45:00,115614.6645,115618.932291404,115534.99875,115534.99875,273,0,273
2024.12.20,07:00:00,115534.99875,115548.413519533,115455.333,115455.333,274,0,274
2024.12.20,07:15:00,115455.333,115458.786044816,115375.66725,115375.66725,275,0,275
2024.12.20,07:30:00,115375.66725,115384.667294168,115295.747617571,115296.0015,276,0,276
2024.12.20,07:45:00,115296.0015,115307.843849547,115216.33575,115216.33575,277,0,277
2024.12.20,08:00:00,115216.33575,115216.962192375,115118.193043097,115136.67,278,0,278
2024.12.20,08:15:00,115136.67,115164.429023874,115134.202138345,115155.7898,279,0,279
2024.12.20,08:30:00,115155.7898,115179.143680205,115150.44985658,115174.9096,280,0,280
2024.12.20,08:45:00,115174.9096,115203.420750807,115171.890616217,115194.0294,281,0,281
2024.12.20,09:00:00,115194.0294,115218.61526595,115194.0294,115213.1492,282,0,282
2024.12.20,09:15:00,115213.1492,115235.292915984,115213.1492,115232.269,283,0,283
2024.12.20,09:30:00,115232.269,115256.798732416,115231.09778068,115251.3888,284,0,284
2024.12.20,09:45:00,115251.3888,115270.527276874,115251.3888,115270.5086,285,0,285
2024.12.20,10:00:00,115270.5086,115290.037998823,115270.5086,115289.6284,286,0,286
2024.12.20,10:15:00,115289.6284,115315.9447325,115289.6284,115308.7482,287,0,287
2024.12.20,10:30:00,115308.7482,115333.737831404,115308.7482,115327.868,288,0,288
2024.12.20,10:45:00,115327.868,115351.13424716,115325.024154723,115346.9878,289,0,289
2024.12.20,11:00:00,115346.9878,115370.100290649,115345.141196856,115366.1076,290,0,290
2024.12.20,11:15:00,115366.1076,115388.114852196,115361.83160433,115385.2274,291,0,291
2024.12.20,11:30:00,115385.2274,115412.577686783,115383.277131236,115404.3472,292,0,292
2024.12.20,11:45:00,115404.3472,115425.127589026,115404.3472,115423.467,293,0,293
2024.12.20,12:00:00,115423.467,115446.855101051,115419.791365382,115442.5868,294,0,294
2024.12.20,12:15:00,115442.5868,115463.674213136,115442.274818803,115461.7066,295,0,295
2024.12.20,12:30:00,115461.7066,115488.455948055,115461.7066,115480.8264,296,0,296
2024.12.20,12:45:00,115480.8264,115500.025461534,115480.8264,115499.9462,297,0,297
2024.12.20,13:00:00,115499.9462,115523.365035776,115496.503289856,115519.066,298,0,298
2024.12.20,13:15:00,115519.066,115545.971213254,115519.066,115538.1858,299,0,299
2024.12.20,13:30:00,115538.1858,115558.506801901,115535.654344459,115557.3056,300,0,300
2024.12.20,13:45:00,115557.3056,115585.098539442,115557.3056,115576.4254,301,0,301
2024.12.20,14:00:00,115576.4254,115597.791659811,115570.701539412,115595.5452,302,0,302
2024.12.20,14:15:00,115595.5452,115617.579607186,115595.5452,115614.665,303,0,303
